Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Ja'Marr Chase,WR,LSU,"6'0""",201,,,,4.34,,41,"11'0""",,6.96,3.99
Jack Stoll,TE,Nebraska,"6'3""",247,,,,4.6,,31.5,"9'11""",16,6.86,4.32
Jacob Harris,WR,Central Florida,"6'5""",219,,,,4.39,,40.5,"11'1""",15,6.54,4.31
Jaelon Darden,WR,North Texas,"5'7""",174,,,,4.47,,35.5,"10'2""",,6.66,3.98
Jake Funk,RB,Maryland,"5'10""",204,,,,4.49,,38,"10'2""",22,6.71,4.12
Jake Hausmann,TE,Ohio St.,"6'4""",242,,,,4.98,,29.5,"9'4""",16,7.65,4.44
Jalen Camp,WR,Georgia Tech,"6'1""",226,,,,4.48,,39.5,"10'5""",29,7,4.14
Jamal Jones,RB,Arkansas St.,"5'6""",198,,,,4.67,,28,"9'4""",23,7.39,4.65
Jamie Newman,QB,Georgia,"6'2""",234,,,,,,,,,,
Jaret Patterson,RB,Buffalo,"5'6""",195,,,,4.59,,30,"9'9""",19,7.03,4.35
Javian Hawkins,RB,Louisville,"5'8""",183,,,,4.46,,36,"9'8""",,6.98,4.23
Javonte Williams,RB,North Carolina,"5'9""",212,,,,4.55,,36,"10'3""",22,6.97,4.09
Jaylen Harris,WR,Ohio St.,"5'8""",170,,,,4.77,,30.5,"9'1""",8,7.37,4.5
Jermar Jefferson,RB,Oregon St.,"5'10""",206,,,,4.57,,31,"9'7""",13,7.38,4.38
John Bates,TE,Boise St.,"6'5""",250,,,,4.84,,31.5,"10'0""",19,6.85,4.35
John Raine,TE,Northwestern,"6'1""",231,,,,5.05,,31,"8'11""",15,7.32,4.54
Johnathon Johnson,WR,Missouri,,,,,,,,,,,,
Jonathan Adams,WR,Arkansas St.,"6'2""",210,,,,4.59,,39,"11'0""",,7.04,4.38
Jonathan Nance,WR,Missouri,,,,,,,,,,,,
Josh Blancato,WR,Georgia Tech,"5'9""",182,,,,4.55,,32,"10'4""",17,6.9,4.31
Josh Imatorbhebhe,WR,Illinois,"6'0""",218,,,,4.53,,46.5,"11'2""",24,7.1,4.38
Josh Johnson,RB,La-Monroe,"5'8""",209,,,,4.61,,35.5,"9'7""",22,7.16,4.4
Josh Pederson,TE,La-Monroe,"6'4""",234,,,,4.81,,28.5,"9'2""",19,7.31,4.43
Justin Fields,QB,Ohio St.,"6'2""",227,,,,4.45,,,,,,
Justin Henderson,RB,Louisiana Tech,"5'7""",220,,,,4.65,,32,"9'10""",26,7.22,4.59
Kadarius Toney,WR,Florida,"5'11""",193,,,,4.39,,39.5,"11'4""",9,6.88,4.25
Kawaan Baker,WR,South Alabama,"6'0""",210,,,,4.44,,39.5,"10'9""",21,7.42,4.41
Kenneth Gainwell,RB,Memphis,,201,,,,4.42,,,,21,,
Kenny Yeboah,TE,Mississippi,"6'3""",250,,,,,,34,"9'8""",,,
Kevin Thomson,QB,Washington,"6'0""",198,,,,4.75,,35.5,"10'6""",21,6.98,4.23
Khalil Herbert,RB,Virginia Tech,"5'8""",210,,,,4.46,,33,"9'7""",22,6.96,4.31
Khalil McClain,WR,Troy,"6'2""",214,,,,4.7,,32,"9'6""",15,7.72,4.5
Kyle Pitts,TE,Florida,"6'5""",245,,,,4.44,,33.5,"10'9""",22,7.12,4.3
Kyle Trask,QB,Florida,"6'5""",236,,,,5.1,,31.5,"9'5""",,7.08,4.6
Kylin Hill,RB,Mississippi St.,"5'10""",214,,,,4.51,,36,"10'2""",22,7.13,4.35
Larry Rountree,RB,Missouri,,,,,,4.62,,30,,,6.96,
Luke Farrell,TE,Ohio St.,"6'5""",251,,,,4.79,,36.5,"9'10""",22,7.14,4.36
Mac Jones,QB,Alabama,"6'2""",217,,,,4.72,,32,"9'8""",,7.04,4.39
Marlon Williams,WR,Central Florida,"5'11""",209,,,,4.63,,33.5,"9'11""",14,,4.57
Marquez Stevenson,WR,Houston,"5'10""",180,,,,4.48,,33,"10'2""",,6.76,4.14
Mekhi Sargent,RB,Iowa,"5'8""",208,,,,4.62,,33.5,"9'6""",,7.08,4.39
Michael Carter,RB,North Carolina,"5'7""",201,,,,4.5,,34,"9'11""",16,6.81,3.98
Miller Forristall,TE,Alabama,,,,,,,,,,,,
Nico Collins,WR,Michigan,"6'4""",215,,,,4.43,,37.5,"10'5""",14,6.78,4.29
Noah Gray,TE,Duke,"6'3""",240,,,,4.55,,35,"9'7""",15,6.83,4.37
Otis Anderson,RB,Central Florida,"5'7""",179,,,,4.63,,36,"9'5""",11,7.04,4.38
Pat Freiermuth,TE,Penn St.,"6'5""",251,,,,,,,,26,,
Peyton Ramsey,QB,Northwestern,"6'1""",215,,,,4.77,,28,"9'0""",,7.28,4.41
Pooka Williams,RB,Kansas,"5'9""",170,,,,4.46,,31.5,"9'10""",4,7.03,4.26
Pro Wells,TE,TCU,,,,,,,,,,,,
Quintin Morris,TE,Bowling Green,"6'2""",243,,,,4.6,,34,"9'11""",22,7.12,4.55
Racey McMath,WR,LSU,"6'2""",217,,,,4.36,,34,"10'4""",,7.38,4.38
Rakeem Boyd,RB,Arkansas,"5'11""",213,,,,4.7,,32.5,"8'2""",6,7.22,4.38
Ramaud Chiaokhiao-Bowman,WR,Northwestern,"6'1""",204,,,,4.78,,34.5,"9'11""",11,6.78,4.2
Rashod Bateman,WR,Minnesota,"6'0""",190,,,,4.39,,36,"10'3""",,,
Rhamondre Stevenson,RB,Oklahoma,"5'11""",231,,,,4.64,,31.5,"9'4""",15,7.09,4.15
Riley Lees,WR,Northwestern,"5'11""",192,,,,4.47,,35,"9'11""",7,6.78,4.16
Rondale Moore,WR,Purdue,"5'7""",180,,,,4.28,,42.5,,,6.65,4.06
Sage Surratt,WR,Wake Forest,"6'2""",209,,,,4.66,,,,18,,4.25
Sam Ehlinger,QB,Texas,"6'1""",220,,,,4.84,,36.5,"9'6""",,7.15,4.44
Sandon McCoy,RB,Army,"5'10""",215,,,,4.78,,32,"9'6""",18,7.47,4.56
Scooter Harrington,TE,Stanford,"6'4""",250,,,,5.19,,29,"8'9""",,7.2,4.53
Seth Williams,WR,Auburn,"6'3""",211,,,,4.49,,37,"10'4""",12,7.2,4.43
Shaun Beyer,TE,Iowa,"6'4""",250,,,,4.78,,31.5,"9'11""",,,4.2
