Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle, PFF_for_first_4_years
Baker Mayfield,QB,Oklahoma,"6'1""",215,,,,4.84,,29,"9'3""",,7,4.28, 75.7
Josh Allen,QB,Wyoming,"6'5""",237,,,,4.75,,33.5,"9'11""",,6.9,4.4, 76.8
Josh Rosen,QB,UCLA,"6'4""",226,,,,4.92,,31,"9'3""",,7.09,4.28, 47.6
Mike White,QB,Western Kentucky,"6'5""",224,,,,5.09,,27,"8'0""",,7.4,4.4, 53.4
Sam Darnold,QB,USC,"6'3""",221,,,,4.85,,26.5,"8'9""",,6.96,4.4, 60.4
Lamar Jackson,QB,Louisville,"6'2""",216,,,,,,,,,, 73.9
