Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle, PFF_for_first_4_years
Daniel Jones,QB,Duke,"6'5""",221,,,,4.81,,33.5,"10'0""",,7,4.41, 72.9
Drew Lock,QB,Missouri,"6'4""",228,,,,4.69,,31,"9'4""",,7.03,4.12, 60.9
Dwayne Haskins,QB,Ohio State,"6'3""",231,,,,5.04,,28.5,,,, 58
Gardner Minshew,QB,Washington State,"6'1""",225,,,,4.97,,33.5,"9'8""",,7.14,4.45, 67.8
Jake Browning,QB,Washington,"6'2""",211,,,,4.74,,29,"9'4""",,7.19,4.44, 73.9
Kyler Murray,QB,Oklahoma,"5'10""",207,,,,,,,,,,75
